Adresse,Prix,Ville,Région,Chambres,Salles de bain,Salles d'eau,Étages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"105-5241, rue Riviera",319 000 $,Pierrefonds / Roxboro,Montréal / l'Île,2,1,,1,991.36 pi² (92.1 m²),"1,682.40 pi² (156.3 m²)","1 343,18 $","143,97 $",,
"147, chemin de Morrison Heights",144 000 $,La Pêche (Wakefield),Outaouais,,,,,,"44,433.42 pi² (4,128 m²)","394,07 $",,,
"800, rue des Cimes",99 500 $,Ste-Adèle,Laurentides,,,,,,"53,960 pi² (5,013.05 m²)",,,,
"910, chemin des Hauts-Cantons",120 000 $,Stratford,Estrie,,,,,,"46,761.66 pi² (4,344.3 m²)","539,36 $","32,81 $",,
"57, rue Desaulniers",319 900 $,Shefford,Estrie,,,,,,64 586 pi² (6 000.24 m²),"85 000,00 $","53,59 $",,
"1048-1052, boulevard du Curé-Labelle",1 350 000 $,Blainville,Laurentides,,,,,,"10,527 pi² (977.99 m²)","16 086,00 $","682,00 $",,
"89-3840, boulevard le Carrefour",360 000 $,Chomedey,Laval,3,1,,1,980 pi² (91.04 m²),7 800 pi² (724.64 m²),"1 872,51 $","175,00 $",,"1 520,00 $"
"980, rue des Jardins-Fleuris",525 000 $,Sherbrooke (Fleurimont),Estrie,6,2,,1,,10 893.08 pi² (1 012 m²),"2 700,00 $","205,00 $",,
"113-113A-113B, 107e Rue",200 000 $,Beauceville,Chaudière-Appalaches,4,3,,,,947.1 pi² (87.99 m²),,,,
"13, rue Péloquin",449 000 $,Sorel-Tracy,Montérégie (Rive-Sud Montréal),5,2,,1,1 033 pi² (95.97 m²),7 525 pi² (699.1 m²),"2 128,16 $","136,09 $","3 348,00 $",
"1104, boulevard Tadoussac",1 680 000 $,Chicoutimi (Chicoutimi-Nord),Saguenay-Lac-Saint-Jean,4,3,1,1,2 860 pi² (265.7 m²),362 000 pi² (33 630.9 m²),"4 600,00 $","359,00 $","1 100,00 $","2 600,00 $"
"1074, route Marie-Victorin",145 600 $,St-Nicolas,Québec Rive-Sud (Lévis),,,,,,8 091 pi² (751.68 m²),"1 517,46 $","68,38 $",,
"3960, rue Rocheleau",769 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),4,2,1,2,1 986 pi² (184.51 m²),96x53 pi (29.26x16.15 m),"2 558,09 $","254,13 $","1 319,00 $","1 000,00 $"
"1727, rue Montarville",495 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),2,1,,1,896 pi² (83.24 m²),265.76 pi² (24.69 m²),"2 156,19 $","402,73 $",,"763,00 $"
"940z, chemin des patriotes Sud",284 000 $,Otterburn Park,Montérégie (Rive-Sud Montréal),,,,,,"6,628 pi² (615.76 m²)",,,,
"1078, route Marie-Victorin",173 000 $,St-Nicolas,Québec Rive-Sud (Lévis),,,,,,7 865 pi² (730.68 m²),,,,
route d'Irlande,89 000 $,Percé,Gaspésie-Îles-de-la-Madeleine,,,,,,565 105.30 pi² (5.25 hectares),"175,00 $","175,00 $",,
"366, rue de Lanaudière",739 900 $,Joliette,Lanaudière,6,2,,2,3 636 pi² (337.8 m²),5 069.8 pi² (471 m²),"2 859,30 $","276,89 $","895,00 $","1 012,50 $"
"435-437, rue Principale",759 000 $,St-Mathieu-De-Laprairie,Montérégie (Rive-Sud Montréal),2,,,,,"52,182.36 pi² (4,847.9 m²)","4 465,15 $",,,"2 000,00 $"
"1057, rue Côté",795 000 $,St-Jérôme (St-Jérôme),Laurentides,11,,,,,95.70x100.00 pi (29.17x30.48 m),"6 121,00 $","450,00 $","4 000,00 $","4 058,00 $"
,360 000 $Prix de vente fourni par le vendeur à DuProprio.,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),5,2,,1,1 027 pi² (95.41 m²),6 069.77 pi² (563.9 m²),,,,
"104, rue de l'Oiselet",889 000 $,St-Colomban,Laurentides,5,2,1,2,2 400 pi² (222.97 m²),33 500 pi² (3 112.25 m²),"4 000,00 $","1 000,00 $","3 000,00 $",
"225-229, rue du Prince-Édouard",590 000 $,Québec,Québec Rive-Nord,4,3,,,,2 209 pi² (205.22 m²),"4 288,68 $","287,06 $",,"2 900,54 $"
"90, route 132",299 000 $,Métis-Sur-Mer,Bas-Saint-Laurent,6,2,,2,28x28 pi (8.53x8.53 m),86 111.28 pi² (8 000 m²),"1 016,74 $","35,79 $","2 500,00 $","1 178,00 $"
"800, route de l'Anse Saint Jean",470 000 $,Amqui,Bas-Saint-Laurent,2,1,1,2,2 350 pi² (218.32 m²),20 989.63 pi² (1 950 m²),,,,
"205-6, avenue Donegani",520 000 $,Pointe-Claire,Montréal / l'Île,2,2,,1,974.13 pi² (90.5 m²),,"2 984,00 $","353,00 $","660,00 $",
"2712-2714, avenue Mercier",549 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,4,2,,,,1 572 pi² (146.04 m²),"2 240,17 $","256,00 $",,"1 132,51 $"
"370, montée Victor-Nymark",945 000 $,St-Sauveur,Laurentides,4,2,1,2,3 165.88 pi² (294.12 m²),10 794.05 pi² (1 002.8 m²),"3 691,00 $","462,00 $","4 363,00 $",
"214, rue Terry Fox",1 200 000 $,Mont-Tremblant (St-Jovite),Laurentides,3,2,,2,2 000 pi² (185.81 m²),40 000 pi² (3 716.12 m²),"3 630,00 $","475,00 $","2 000,00 $",
"1205, boulevard Malcolm-Fraser",238 000 $,La Malbaie (Cap-À-L'Aigle),Charlevoix,3,2,,1,"1,130 pi² (104.98 m²)",110x117 pi (33.53x35.66 m),"2 865,96 $","170,78 $","2 000,00 $",
"3460, route Monseigneur-Bourget",1 400 000 $,Lévis,Québec Rive-Sud (Lévis),3,2,1,2,,408 362.3 pi² (37 938.1 m²),"2 124,03 $","400,00 $","6 662,51 $",
"2450, rue Montante",664 900 $,Sherbrooke (Mont-Bellevue),Estrie,7,1,2,1,2 568 pi² (238.58 m²),16 000 pi² (1 486.45 m²),"3 517,26 $","276,34 $","1 310,00 $",
,195 000 $Prix de vente fourni par le vendeur à DuProprio.,St-Raymond,Portneuf,,,,,,43 055 pi² (3 999.94 m²),,,,
chemin de la Sablière,295 000 $,Lac-Superieur,Laurentides,,,,,,47 000 pi² (4 366.44 m²),,,,
"34, rue Dante",370 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,1,1,,3,575 pi² (53.42 m²),,,,,
"250, route 195",290 000 $,St-Vianney,Gaspésie-Îles-de-la-Madeleine,5,2,,2,1 208 pi² (112.23 m²),98 188 pi² (9 121.96 m²),,,,
"4155, rue des Groseilliers",795 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,4,2,,2,"1,077.47 pi² (100.1 m²)","5,088 pi² (472.69 m²)","3 619,27 $","429,36 $","2 000,00 $","1 200,00 $"
Chemin Bélair Ouest,170 000 $,St-Lambert-De-Lauzon,Chaudière-Appalaches,,,,,,32 291 pi² (2 999.93 m²),,,,
"1252, rue de Gênes",764 900 $,Fabreville,Laval,3,1,1,2,1 644.73 pi² (152.8 m²),4 140.88 pi² (384.7 m²),"3 076,63 $","361,00 $","1 968,00 $",
"54, rue Bella",389 900 $,St-Jean-sur-Richelieu (St-Athanase),Montérégie (Rive-Sud Montréal),2,1,,2,1 080 pi² (100.34 m²),,"3 080,00 $",,,
"50, rue des Côteaux",79 000 $,St-Alphonse-Rodriguez,Lanaudière,,,,,,61 171 pi² (5 682.97 m²),,,,
"1172, rue Mathieu",619 900 $,St-Jérôme (Bellefeuille),Laurentides,4,2,1,2,2 325 pi² (216 m²),9 020 pi² (837.99 m²),"3 652,00 $","295,00 $",,
"1350, chemin des Patriotes Nord",945 000 $,Mont-St-Hilaire,Montérégie (Rive-Sud Montréal),4,2,1,2,2 697 pi² (250.56 m²),55 234 pi² (5 131.41 m²),"4 550,00 $","300,00 $","4 932,00 $",
"162, chemin du Ruisseau-des-Noyers",600 000 $,St-Jean-sur-Richelieu (L'Acadie),Montérégie (Rive-Sud Montréal),5,1,3,1,2 650 pi² (246.19 m²),16 700 pi² (1 551.48 m²),"3 861,00 $","451,99 $",,"101,01 $"
"495, rue de l'Aqueduc",434 500 $,Saint-Sauveur,Québec Rive-Nord,2,1,1,3,"1,046 pi² (97.18 m²)",1 pi² (0.09 m²),"3 958,50 $","342,50 $","1 035,00 $",
"14931, boulevard Valcartier",286 000 $,Loretteville,Québec Rive-Nord,3,2,,2,1 115.14 pi² (103.6 m²),6 349 pi² (589.84 m²),"2 360,00 $","195,92 $","1 460,00 $",
"5137-5141, boulevard Lévesque Ouest",1 150 000 $,Chomedey,Laval,2,1,,,,58.20x112.83 pi (17.74x34.39 m),"6 936,00 $","710,00 $",,
"675, rue Principale",520 000 $,Petite-Rivière-St-François,Charlevoix,3,2,1,1,1 216 pi² (112.97 m²),13 100 pi² (1 217.03 m²),,,,
"598-604, rue O'Bready",879 000 $,Sherbrooke (Jacques-Cartier),Estrie,10,6,,,,13 058 pi² (1 213.13 m²),"7 710,92 $","598,12 $",,"2 843,81 $"
"1-2-3-111, rue Principale",225 000 $,St-Lazare-De-Bellechasse,Chaudière-Appalaches,5,3,3,,,9 097.66 pi² (845.2 m²),"2 969,70 $","169,15 $",,
"1007-5500, place de Jumonville",699 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,2,2,,1,"1,357 pi² (126.07 m²)",,"4 018,19 $","497,36 $",,
"861-865, rue principale",325 000 $,Batiscan,Mauricie,5,3,,,,1 216.32 pi² (113 m²),"2 895,57 $","217,26 $","2 792,00 $",
"42, chemin de la Riviera",190 000 $,L'Anse-St-Jean,Saguenay-Lac-Saint-Jean,2,1,,1,592.8 pi² (55.07 m²),6 000 pi² (557.42 m²),"2 000,00 $","84,00 $","750,00 $","269,00 $"
"5000, chemin Harvey",699 000 $,Labrecque,Saguenay-Lac-Saint-Jean,3,1,,2,3 100 pi² (288 m²),39 600 pi² (3 678.96 m²),"4 280,00 $","893,82 $","2 800,00 $","970,00 $"
"457, rue des Roseaux",1 850 999 $,Ste-Dorothée,Laval,3,3,1,3,3 498 pi² (324.97 m²),55x105 pi (16.76x32.00 m),"7 800,00 $","934,00 $","5 600,00 $","1 000,00 $"
"411, 8e Concession",53 000 $,Clarendon,Outaouais,,,,,,87 120.00 pi² (2 acres),,,,
"5-505, rue des Commissaires",415 000 $,Trois-Rivières (Trois-Rivières),Mauricie,2,1,,1,1 400 pi² (130.06 m²),,"2 530,98 $","216,61 $","1 080,00 $","1 200,00 $"
"201, 4e Rang",350 000 $,St-David-de-Falardeau,Saguenay-Lac-Saint-Jean,6,2,,2,1 728 pi² (160.54 m²),39 396 pi² (3 660.01 m²),,,,
"263, rue Notre-Dame-de-Lourdes",599 900 $,St-Edmond-De-Grantham,Centre-du-Québec,3,2,,2,2 080 pi² (193.24 m²),39 119 pi² (3 634.27 m²),"1 649,16 $","307,55 $","1 290,29 $",
montée du Cerf,70 000 $,Entrelacs,Lanaudière,,,,,,43 803.73 pi² (4 069.5 m²),,,,
"17, rue de Boischatel",548 000 $,Granby,Estrie,2,2,,2,1 477 pi² (137.22 m²),20 100.53 pi² (1 867.4 m²),"1 998,38 $","192,51 $","2 670,26 $",
"1065, rue Patenaude",925 000 $,Pont-Viau,Laval,3,1,,,,8 200 pi² (761.8 m²),"5 533,00 $","541,00 $",,
chemin de Parent,195 000 $,Mont-St-Michel,Laurentides,,,,,,"5,749,920.02 pi² (132 acres)",,,,
"5290, rue Sainte-Lucie",489 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),2,1,1,1,986 pi² (91.6 m²),5 400 pi² (501.68 m²),"2 033,14 $","192,14 $",,
"214, 18e Avenue",310 000 $,Desbiens,Saguenay-Lac-Saint-Jean,2,2,,1,1 976 pi² (183.58 m²),7 279.63 pi² (676.3 m²),"3 632,13 $","158,65 $","1 623,84 $","1 547,04 $"
"23, avenue Ulric Tessier",275 000 $,St-Ulric,Bas-Saint-Laurent,4,2,,2,1 135 pi² (105.44 m²),9 000 pi² (836.13 m²),"1 757,01 $","96,34 $","2 420,00 $","1 572,34 $"
"126, rue Paul-Mainguy",619 000 $,Blainville,Laurentides,3,2,,1,1 081.77 pi² (100.5 m²),6 135.43 pi² (570 m²),"2 479,00 $","716,00 $","2 006,00 $",
"171, rue Sainte-Cécile",79 000 $,Alma,Saguenay-Lac-Saint-Jean,,,,,,10 672.41 pi² (991.5 m²),,,,
"203-1346, rue Principale",349 995 $,Petite-Rivière-St-François,Charlevoix,2,1,1,1,967 pi² (89.84 m²),936.46 pi² (87 m²),"5 100,00 $","250,00 $",,
"1030-1034, boulevard Taschereau",572 500 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),1,1,,,,4 826 pi² (448.35 m²),"2 732,73 $",,"1 080,00 $","987,00 $"
"5053-5059, rue Garnier",2 069 000 $,Le Plateau-Mont-Royal,Montréal / l'Île,11,5,1,,,3 149.52 pi² (292.6 m²),"14 157,00 $",,,"3 207,00 $"
"111, boulevard du Lac",597 000 $,Ste-Brigitte-De-Laval,Québec Rive-Nord,4,2,,1,1 908 pi² (177.26 m²),177 931.74 pi² (16 530.4 m²),"4 085,27 $","404,75 $","1 780,00 $","1 620,00 $"
"78-84, 24e Avenue Nord",590 000 $,Bois-Des-Filion,Laurentides,6,4,,,,"9,715.5 pi² (902.6 m²)","5 279,00 $","476,00 $",,
"45, route Victor-Delamarre",335 000 $,Lac-Bouchette,Saguenay-Lac-Saint-Jean,4,2,1,2,"2,052 pi² (190.64 m²)","18,900 pi² (1,755.87 m²)","2 272,51 $","137,69 $","1 951,29 $","576,61 $"
rang Saint-Hilaire Sud,34 500 $,St-Magloire-De-Bellechasse,Chaudière-Appalaches,,,,,,90 500 pi² (8 407.73 m²),,,,
"119, rue des Flandres",669 500 $,Rimouski (Rimouski),Bas-Saint-Laurent,6,3,1,2,3 045 pi² (282.89 m²),60.04x118.77 pi (18.3x36.2 m),"5 281,57 $","461,93 $","2 900,00 $","972,28 $"
"243, rue Serge-Garant",749 999 $,Beauport,Québec Rive-Nord,4,2,1,2,2 771.92 pi² (257.52 m²),9 392.59 pi² (872.6 m²),,,,
"350, rue Jacques-Cartier Est",510 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,4,1,1,2,1 800 pi² (167.23 m²),54.99x125.00 pi (16.76x38.1 m),"3 357,00 $","231,00 $","2 500,00 $","1 000,00 $"
"4-540, rue Turgeon",180 000 $,Saint-Roch,Québec Rive-Nord,1,1,,3,669 pi² (62.15 m²),,,,,
chemin du Fief,69 000 $,Petite-Rivière-St-François,Charlevoix,,,,,,55 304 pi² (5 137.91 m²),"1 400,00 $","100,00 $",,
route de la Traverse,44 800 $,Lac-Aux-Sables,Mauricie,,,,,,57 300 pi² (5 323.34 m²),,,,
rue Plante,359 900 $,Péribonka,Saguenay-Lac-Saint-Jean,6,,,,,8 484 pi² (788.19 m²),"2 242,00 $","110,00 $","3 202,00 $","1 755,00 $"
"804-1220, rue Crescent",314 900 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,,1,,1,349 pi² (32.42 m²),,"1 692,51 $","200,50 $","600,00 $",
"1001-1288, avenue des Canadiens-de-Montréal",699 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,1,1,,1,,,,,,
"105-4, rue de la Sarcelle",415 000 $,Orford,Estrie,2,2,,1,931 pi² (86.49 m²),53 349.17 pi² (4 956.3 m²),"1 374,45 $","140,42 $","720,00 $","588,00 $"
"365, montée Sanche",475 900 $,Boisbriand,Laurentides,3,2,,1,1 183 pi² (109.9 m²),5 952.59 pi² (553.01 m²),"2 682,84 $","261,11 $","3 000,00 $",
"3515-3517-3519, rue Préfontaine",990 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,6,5,,,,"2,887.96 pi² (268.3 m²)","5 221,20 $","656,09 $","2 000,00 $",
rue Scott Ouest,60 000 $,Alma,Saguenay-Lac-Saint-Jean,,,,,,457 991 pi² (42 548.76 m²),,,,
"110, rue du Saguenay",300 000 $,St-Fulgence,Saguenay-Lac-Saint-Jean,,,,,,20 000 pi² (1 858.06 m²),"2 600,00 $","140,00 $","5 000,00 $","4 000,00 $"
"102-7905, rue Saint-Hubert",340 000 $,Villeray / St-Michel / Parc-Extension,Montréal / l'Île,1,1,,1,675 pi² (62.71 m²),270 pi² (25.08 m²),"1 995,50 $","203,26 $",,
"618-235, rue Peel",675 000 $,Griffintown,Montréal / l'Île,2,1,,1,893.40 pi² (83 m²),136.92 pi² (12.72 m²),"4 162,26 $","509,64 $","694,62 $",
"12, chemin Murray Hill",249 900 $,Bristol,Outaouais,2,1,,1,"1,200 pi² (111.48 m²)","9,000 pi² (836.13 m²)","1 000,00 $","100,00 $","1 000,00 $",
"2365, avenue Saint-David",460 000 $,Beauport,Québec Rive-Nord,4,2,,1,"1,032.26 pi² (95.9 m²)","4,367.99 pi² (405.8 m²)",,,,
"609-271, avenue de l'Académie",779 000 $,Dorval / L'Île Dorval,Montréal / l'Île,2,2,,1,1 231 pi² (114.36 m²),,"3 118,32 $","514,66 $","1 250,00 $","701,96 $"
"2353, rue Forand",499 000 $,Magog,Estrie,3,2,,2,1 700 pi² (157.94 m²),89 063.82 pi² (8 274.3 m²),"2 173,00 $","250,00 $","2 300,00 $","940,00 $"
"2-7315, boulevard Cousineau",399 900 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),2,1,,1,948.30 pi² (88.1 m²),1 165.30 pi² (108.26 m²),"1 721,31 $","170,53 $","723,72 $","500,00 $"
"9150, rue de Villieu",1 550 000 $,Saint-Léonard,Montréal / l'Île,4,3,1,2,"4,000 pi² (371.61 m²)","11,000 pi² (1,021.93 m²)","7 600,00 $","1 565,00 $","7 000,00 $",
"44, 3e Avenue Nord",749 000 $,Pierrefonds / Roxboro,Montréal / l'Île,4,2,,1,"1,304.6 pi² (121.2 m²)","5,700 pi² (529.55 m²)","2 646,41 $","308,53 $","2 950,00 $",
"192, rue Principale",159 000 $,Esprit-Saint,Bas-Saint-Laurent,5,1,1,2,1 800 pi² (167.23 m²),9 648 pi² (896.33 m²),"1 304,61 $","28,33 $","1 122,00 $","574,00 $"
"1, rue Tremblay",275 000 $,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,3,2,,2,1 500 pi² (139.35 m²),8 957 pi² (832.13 m²),"2 058,00 $","150,00 $","2 000,00 $","1 000,00 $"
"130, chemin Lucien-Murray",350 000 $,St-Rene-De-Matane,Bas-Saint-Laurent,3,1,1,2,1 500 pi² (139.35 m²),47 102.87 pi² (4 376 m²),"1 500,00 $",,"1 000,00 $",
"9, rue des Gémeaux",799 000 $,Ste-Marguerite-Du-Lac-Masson,Laurentides,3,2,1,2,1 992 pi² (185.06 m²),44 838 pi² (4 165.59 m²),"3 755,00 $","410,00 $","1 590,00 $",
,,Val-Bélair,Québec Rive-Nord,3,2,,1,864 pi² (80.27 m²),"7,200 pi² (668.9 m²)",,,,
"4890, chemin du Lac  Gratten",120 000 $,Rawdon,Lanaudière,,,,,,120 394 pi² (11 184.97 m²),,,,
"66, chemin du Lac-à-l'Ours Sud",449 000 $,St-Hippolyte,Laurentides,3,1,,1,968.75 pi² (90 m²),26 974.36 pi² (2 506 m²),,,,
"101, rue l'Esperance",1 375 000 $,St-Lambert,Montérégie (Rive-Sud Montréal),2,1,,,,5 490.67 pi² (510.1 m²),"8 496,00 $","817,63 $",,
"136, rue Jean-De-Roncery",1 398 000 $,Carignan,Montérégie (Rive-Sud Montréal),7,5,1,2,"5,082 pi² (472.13 m²)","11,404 pi² (1,059.47 m²)","7 780,97 $","912,72 $",,
"124, rue Jean-Talon",525 000 $,Chateauguay,Montérégie (Rive-Sud Montréal),3,1,1,1,1 119 pi² (103.96 m²),6 000 pi² (557.42 m²),"3 800,00 $","255,00 $",,
"1244, avenue des Gouverneurs",699 000 $,Sillery,Québec Rive-Nord,5,1,2,2,1 920 pi² (178.37 m²),6 500 pi² (603.87 m²),"5 236,00 $","537,00 $","3 360,00 $","1 900,00 $"
"303-1070, rue de Bleury",539 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,1,1,1,1,867.57 pi² (80.6 m²),,"3 281,35 $","547,57 $","688,08 $","521,00 $"
chemin Olivier,3 389 000 $,St-Nicolas,Québec Rive-Sud (Lévis),,,,,,"154,060 pi² (14,312.64 m²)",,,,
"42, rue Tracy",6 500 000 $,St-Hippolyte,Laurentides,3,2,,2,"4,800 pi² (445.93 m²)","8,712,000.03 pi² (200 acres)","5 033,13 $","943,50 $","1 600,00 $","4 432,00 $"
"159, rue Dionne",249 000 $,Matane,Bas-Saint-Laurent,6,2,1,2,2 112 pi² (196.21 m²),5 070 pi² (471.02 m²),"3 171,55 $","159,00 $","3 000,00 $","1 003,89 $"
"429-5595, rue de Lanaudière",795 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,3,1,1,2,983.82 pi² (91.4 m²),,"4 083,50 $","505,86 $","872,52 $",
"879-881-883, Route 138",429 000 $,Neuville,Portneuf,7,3,,,,8 712.31 pi² (809.4 m²),"3 153,21 $","257,40 $",,"1 242,66 $"
"994, chemin du Tour du Lac Nord",299 000 $,Lac-Sergent,Portneuf,,,,,,42 436.72 pi² (3 942.5 m²),"3 078,00 $","67,76 $",,
chemin Lamoureux,149 900 $,Cantley,Outaouais,,,,,,58 480.33 pi² (5 433 m²),"602,26 $","34,20 $",,
"208-6400, rue Christophe",359 000 $,Brossard,Montérégie (Rive-Sud Montréal),1,1,,2,942 pi² (87.51 m²),,"1 596,00 $","150,72 $","560,00 $",
"6559, 18e Avenue",1 195 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,5,1,,,,3 691.59 pi² (342.96 m²),"5 310,12 $","665,50 $","3 000,00 $","1 300,00 $"
rang Saint-Édouard,250 000 $,St-Alexandre-De-Kamouraska,Bas-Saint-Laurent,,,,,,1 691 419.36 pi² (157 138 m²),,,,
"13-29, rue de Bruxelles",314 900 $,Gatineau (Aylmer),Outaouais,2,1,,1,1 175 pi² (109.16 m²),2 770 pi² (257.34 m²),"2 508,00 $","159,00 $","800,00 $",
"2213-2215, rue Kennedy",537 400 $,St-Henri-de-Lévis,Chaudière-Appalaches,6,4,2,,,25 226.30 pi² (2 343.6 m²),"4 393,69 $","443,91 $",,
"45, chemin des Amarantes",1 335 000 $,Ste-Anne-Des-Lacs,Laurentides,5,3,1,2,3 340 pi² (310.3 m²),168x332 pi (51.21x101.19 m),"4 179,32 $","639,80 $","4 380,00 $","2 141,00 $"
"875, rue Dufferin",1 100 000 $,Granby,Estrie,,,,,,83 704 pi² (7 776.36 m²),"13 388,40 $","626,69 $","1 404,55 $","4 075,00 $"
"214-2530, rue Maurice-Savoie",330 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),1,1,,1,717.95 pi² (66.7 m²),56.65 pi² (5.26 m²),"2 330,00 $",,"360,00 $","480,00 $"
"755, rue Chauveau",367 500 $,Drummondville (Drummondville),Centre-du-Québec,5,2,1,2,"1,445 pi² (134.24 m²)","7,230 pi² (671.69 m²)","1 911,33 $","180,86 $","2 500,00 $","1 472,00 $"
"4409, boulevard Pierre-Le Gardeur",789 000 $,Terrebonne (Lachenaie),Lanaudière,5,2,1,2,2 180 pi² (202.53 m²),5 252.79 pi² (488 m²),"4 328,00 $","415,00 $","2 981,00 $","1 667,00 $"
"104, chemin des Raymond",549 000 $,L'Ascension,Laurentides,5,1,,2,1 766.24 pi² (164.09 m²),148 975.20 pi² (3.42 acres),"1 692,00 $","106,00 $","1 200,00 $","1 985,00 $"
"5980, avenue de Lorimier",1 190 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,7,4,,,,3 250 pi² (301.93 m²),"4 855,33 $","606,31 $",,"1 000,00 $"
"204-700, rue Bélanger",249 000 $,St-Jérôme (St-Jérôme),Laurentides,2,1,,1,900 pi² (83.61 m²),,,,,"495,00 $"
"1210-190, rue Murray",460 000 $,Griffintown,Montréal / l'Île,2,1,,1,733 pi² (68.1 m²),,"3 162,57 $","404,28 $","600,00 $","100,00 $"
"581, rue d'Aubervilliers",649 900 $,Terrebonne (Terrebonne),Lanaudière,4,1,1,2,1 488 pi² (138.24 m²),7 029 pi² (653.02 m²),"3 750,00 $","329,00 $",,
"17, rue Cantin",799 000 $,Pont-Rouge,Portneuf,4,2,1,2,2 800 pi² (260.13 m²),23 162 pi² (2 151.82 m²),"3 540,00 $","327,00 $","3 757,00 $",
"653, rue Langlois",375 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,4,2,,1,,5 546 pi² (515.24 m²),"2 600,00 $","300,00 $","2 500,00 $","145,00 $"
"401-81, promenades des Îles",539 000 $,Chomedey,Laval,2,2,,4,1 170 pi² (108.7 m²),,"3 016,56 $","326,95 $","870,00 $",
"6, route du Fleuve",579 000 $,Beaumont,Chaudière-Appalaches,3,2,,2,2 400 pi² (222.97 m²),33 875.10 pi² (3 147.1 m²),"2 281,89 $","259,58 $",,"900,00 $"
"1834, chemin Roméo-Lapierre",325 000 $,St-Lin-Laurentides,Lanaudière,3,1,1,1,998.78 pi² (92.79 m²),9 999.67 pi² (929 m²),"1 235,00 $","127,00 $","5 136,00 $","1 680,00 $"
"301, Route 132",45 000 $,Cloridorme,Gaspésie-Îles-de-la-Madeleine,,,,,,98.43x278.87 pi (30x85 m),,,,
boulevard Morin,200 000 $,Val-des-Sources,Estrie,,,,,,30 000 pi² (2 787.09 m²),,,,
"A-B-9, chemin Saint-Gérard",199 900 $,Rimouski (Ste-Blandine/Mont-Lebel),Bas-Saint-Laurent,2,1,,,,6 982.08 pi² (648.66 m²),"2 954,08 $","132,33 $",,"1 502,00 $"
"51, rue d'Apremont",1 349 000 $,Blainville,Laurentides,3,3,1,2,2 400 pi² (222.97 m²),8 373 pi² (777.88 m²),"6 791,72 $","706,56 $","1 722,56 $","1 926,12 $"
"400, rue des Nénuphars",379 000 $,Ste-Émélie-De-L'Énergie,Lanaudière,3,2,,1,744 pi² (69.12 m²),12 487 pi² (1 160.08 m²),"1 243,65 $","106,73 $",,
rue Bernard Fillion,79 500 $,Chertsey,Lanaudière,,,,,,36 350 pi² (3 377.03 m²),,,,
"204-5620, rue de la Roche",399 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,1,1,,1,530 pi² (49.24 m²),,"1 605,07 $","184,45 $","369,95 $",
"180, rue Clément",3 $,Durham-Sud,Centre-du-Québec,,,,,,16 000 pi² (1 486.45 m²),,,,
"630, avenue Baillairgé",699 000 $,Saint-Sacrement,Québec Rive-Nord,8,3,,,,7 000 pi² (650.32 m²),"6 142,00 $","503,00 $","5 089,00 $","1 780,00 $"
"1787, rue Gabriel",1 299 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,7,3,1,2,"3,215 pi² (298.68 m²)","21,045 pi² (1,955.14 m²)","7 801,00 $","633,00 $","6 900,00 $",
"1559, rue Albert",550 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),3,1,2,2,1 400 pi² (130.06 m²),5 000 pi² (464.52 m²),"2 454,92 $","253,47 $","1 380,00 $",
"383, rang Saint-Regis Sud",799 500 $,St-Isidore-De-Laprairie,Montérégie (Rive-Sud Montréal),6,2,1,2,5 516 pi² (512.45 m²),26 000 pi² (2 415.48 m²),"3 283,00 $","670,00 $",,
"709-454, rue de la Gauchetière Ouest",899 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,2,1,,1,1 323 pi² (122.91 m²),,"5 569,25 $","1 207,00 $","3 000,00 $",
"340, chemin du Lac-Deligny",1 495 000 $,Mandeville,Lanaudière,5,3,,2,,2 500 000 pi² (232 257.6 m²),,,,
